Unnamed: 0,content,Quality,Service,Shipping,Packing
2,"bìa sách hơi mỏng, vỏ hộp giao bị bóp méo",0,,,0
7,"- Hộp rất cũ, không có bọc nilon, bị rách ở hầu hết các góc mép, không có 1 tem dán nào ở bên ngoài.
- Bao bọc máy bị rách, hình thức xấu, gây phản cảm.
- Tờ hướng dẫn bị gấp, nhăn góc",0,,,0
169,"thứ nhất là khâu đóng gói k có chống sốc, cũng k có bọc nhựa chống sốc luôn k đảm bảo đc an toàn cho sánh.
2. sách quan trọng nhất là bìa mà trong quá trình khui ra thấy 1 chỗ nhỏ bị trầy, tuy k đáng kể nhìn kĩ ms thấy mà nó làm mất thiện cảm từ cái nhìn đâù tiên vs lain sách ms nw
nên cho shop 3 sao và lời trên giôg như góp ý tại dì tui cũng k có dễ trong vc mua và lựa chọn sách",0,,,0
176,"Đánh giá 1🌟 vì chất lượng quá tệ, mình không có nhu cầu đổi trả nhưng thấy bao nhiêu năm rồi khâu gói hàng của Tiki vẫn không thay đổi và vẫn tệ như ngày nào. Vậy không hiểu bày ra mục đánh giá này để làm gì, bao nhiêu góp ý có chịu lắng nghe hay không. Nếu cũng là mua trên tiki nhưng từ nhà sách khac như Fahasa chẳng hạn, thì đã chẳng có chuyện sách bị cấn móp như thế này. Bọc 1 lớp xốp bong bóng/giấy xốp bộ khó đến vậy sao. Nhận hàng mà nhìn thùng carton bung bét là hình dung ra đc chất lượng bên trong rồi. Mình nhấn mạnh là lỗi do Tiki gói hàng lỏng lẻo không chỉnh chu, rất cẩu thả chứ không phải do shipper. Ship rất nhiệt tình dễ thương, 1🌟 là dàng cho nhà ship chứ chẳng phải dàng cho Tiki. 1 năm qua mình không mua bên Tiki nữa vì khâu gói hàng tệ quá là tệ, bây giờ quay lại trải nghiệm xem Tiku đã đón nhận góp ý và thay đổi chưa, nhưng không hề nha. Còn chẳng muốn đánh giá",0,,1,0
177,"Sách bị cong trên gốc, chưa hài lòng lắm về cách gói hàng.",0,,,0
189,"Sách mình nhận được bị ướt, bong gáy, nhăn nheo các trang sách bên trong. Cuốn sách này mình k sử dụng được. Ngày mình nhận sách trời k mưa, và các cuốn sách khác trong đơn hàng này vẫn ok nên chắc chắn là lỗi từ khi đóng gói. Mong Tiki xử lý trường hợp này bằng cách gửi cho mình cuốn mới với chất lượng tốt hơn hoặc nếu k đc thì hoàn tiền giúp mình. Cảm ơn Tiki.",0,1,,0
397,"Gói hàng thì ko cho nổi 1 cái bọc chống sốc, bm còm bị df khá nặng nx ko chịu nổi luôn á :(((, ko hài lòng cực kì",0,,,0
399,"SÁCH GIAO KHÔNG ĐƯỢC ĐÓNG GÓI CẨN THẬN, SÁCH bị CŨ VÀ BỊ mốp méo 4 góc. Rất không hài lòng về chất lượng sách và cách đóng gói của bên Tiki!",0,,,0
523,"Giao hàng nhanh. Đóng gói sơ sài. Sách cũ, có dấu người đọc gấp rồi.",0,,1,0
528,"Mình khá buồn về cách gói hàng của Tiki, không biết là do gần Tết nên việc đóng gói và vận chuyển ko còn cẩn thận được như trước. Hầu hết các đầu, góc sách mình mua đều bị lỗi va đập và để lại vết ko đẹp. Tiki cũng ko bọc màng chống sốc hay gì đó vào mà chỉ để vài cuốn sách trong cái hộp vậy thôi. Từ Nam ra Bắc nên sách cũng bị ảnh hưởng ít nhiều. Mong Tiki chú ý hơn để khách hàng sau có những trải nghiệm tốt hơn khi sử dụng dịch vụ. Mình cảm ơn!",0,,,0
537,"đóng gói sơ sài, mua 2 cái chào thì mở ra 1 cái bị móp méo luôn",0,,,0
641,"Trời ơi, làm ăn kiểu j thế ạ????? Sách thì ko có cái màng bọc mỏng bảo vệ luôn ấy ạ. Như kiểu có ai đó xé ra đọc cho đã r mới đem gửi đi ấy? Bên tiki thì ko có lấy 1 cái xốp hay giấy bảo vệ j luôn.Mở hộp ra thấy có mình cuốn sách thôi, cái đánh dấu trang cũng bị cong luôn! Chịu thực sự ấy. KHÔNG NÁT NHIỀU MÀ BỊ 1 GÓC VÀ CONG SÁCH!! Làm ăn chán quá đó ạ, không cho hủy đơn thì thôi đi, làm ăn có tâm dùm ạ!. Thật sự rất bực mình ấy, thấy uổng tiền lắm luôn. Chả biết ng khác như nào chứ thế này là bức xúc lắm luôn. Tôi qua đánh giá 1 sao app chắc cũng chẳng lạ ạ. Bảo vệ môi trường vừa thôi, ít nhất đừng xé cái bọc của sách ra và cho giấy tổ ong vô, làm ra để làm j mmàko bọc đc vào?? Ngộ thật đấy, do hết hàng nên tôi mới qua đây mua thôi. Kiểm lại bên gói hàng lại dùm mình!",0,,,0
697,"đóng gói quá tệ, sách bị xước và bị bẩn",0,,,0
784,Sách không được bọc nên bị bụi bẩn,0,,,0
806,"- Đồ bình thường.
- Dong gói không chắc chắn. 
- Chuôi để vặn bóng vẹo sang bên
- Bóng đèn không sáng, phải mua thêm bóng Rạng Đông. 
- Các khung không được chắc chắn. 
- Nói chung mua 140k cũng không đòi hỏi nhiều. Lúc đầu nhìn trong ảnh có vẻ được nhưng thực tế cũng xoàng đúng với giá tiền.",0,,,0
817,"Cũng một thời gian rồi mới đặt sách bên tiki mà nhận được sách như này quả thật cực kì thất vọng ạ 🥲 khâu đóng gói của tiki dạo này rất ẩu, không có bong bóng chống sốc tí nào mà chỉ có mỗi sách không cho vào hộp. Thế này không cấn cũng lạ. Nhìn sách mà sầu lắm ạ, đây còn là quyển mình mong chờ nhất nữa ^^ thực sự rất buồn và thất vọng.",0,,,0
1017,"rất không hài lòng với sản phẩm nhận được, đóng gói quá ẩu, hộp chứa hàng bị rách nhiều nơi, móp méo....ảnh hưởng tới bên trong. Choá bóng đèn bị móp méo, rất bực bội. Mua hàng mới, mà như cũ. Tôi không đồng ý nhận hàng. Tôi yêu cầu trả hàng, hoàn tiền.",0,1,,0
1111,Mình khá thất vọng vì sách về đến tay bị bụi bẩn và không kh có lớp màng bọc bên ngoài hay bọc chống sốc,0,,,0
1131,"_Giao hàng nhanh đúng dự kiến.  Sách được bỏ trong hộp carton.  
_ Sách không bọc màng co,  mặt sau sách vết trầy nhiều @@ Bụi thì lấy giấy chùi hết.  Hàng sale 40% nên cũng chấp nhận được.
_ Sách tg Nhật đều nhỏ nhỏ nhỉ. Lúc xem trên tiki mình tưởng nó sẽ to lắm. 
_ Thấy nhiều bạn khen hay và hack não nên sẽ đọc nội dung xem sao.",0,,1,0
1146,"Bình thường pin ko lâu như quảng cáo, hộp thì cũ",0,,,0
1182,"Sách hay, tác giả nổi tiếng, các bạn có thể nghe tóm tắt sách trên youtube nha._x000D_
_x000D_
Mình đặt mua lúc sách được giảm 50%, nhận hàng không có bao chống sốc như mọi khi, các góc sách bị dập nhăn, bên trong tầm 10 trang bị nhăn như thế này. Do mình nhận hàng đã lâu nhưng hôm nay mới mở ra đọc nên mới thấy, lưu ý cho các bạn muốn đặt sách của tiki thì cân nhắc._x000D_
_x000D_
(Quyển màu trắng mình đặt của fahasa lúc cũng được giảm 50% nhưng sách mới tinh tươm còn trong bao giấy bóng, bên ngoài còn bọc thêm 1 lớp chống sốc nữa!)",0,,,0
1205,"Đèn vàng tối quá không dùng được nên mình thay bóng. 
Hàng đóng gói hok cẩn thận nên lúc nhận bị móp như hình. Do thân đèn nó đè lên đế chứ không phải bên ngoài tác động vào.
Mình trả lại và được nhận cái mới, khi nhận vẫn bị móp 1 tí nhưng chấp nhận được.
Mình góp ý để shop biết và đóng gói cẩn thận hơn nek. 
thks shop nha",0,,,0
1308,"sản phẩm bị cấn móp, thất vọng",0,,,0
1313,"Đóng gói ẩu, hộp rách te tua làm tróc gáy và quăn mép sách",0,,,0
1366,Đóng gói quá tệ. Sách nhận hư bìa và giấy,0,,,0
1454,"Sách ổn , đóng gói k chắc chắn lắm nên bị móp sách :((",0,,,0
1488,Sách cũ hơi bẩn còn bị móp,0,,,0
1567,"Sách không có seal, bìa hơi cũ và phần nhũ tên truyện bị xước xát nhiều. Mua sách ở Tiki thì xác định là vì rẻ chứ đừng  trông chờ vào khâu đóng gói. Kinh nghiệm xương máu là nên mua ít nhất 2 cuốn vì 1 cuốn thì size hộp nhỏ nhất hiện tại đang bị rộng, xóc nảy trong quá trình vận chuyển rất dễ dẫn đến cấn móp, ngoài ra đang mùa mưa mà không có bọc chống thấm nên ai ở tỉnh xa cũng nên cân nhắc. Chất lượng giao hàng rất tốt, siêu nhanh và shipper thân thiện.",0,,1,0
1609,"đóng gói sơ xài, giao hàng nhanh, đặt 2 cái bị vỡ 1 cái, đã làm sạch và lau khô tường nhà tắm, nhưng không dính lắm",0,,1,0
1618,"Giao hàng nhanh._x000D_
Tuy nhiên bọc sách quá xấu, bìa sách lỏng lẻo và không chắc chắn. Cân nhắc không sử dụng gói book care vì chất lượng không cải thiện",0,,1,0
1628,"Mua sản phẩm đắt tiền mà bị lỗi, làm mất đi thẩm mĩ của cuốn sách. Đề nghị bộ phận đóng gói sản phẩm nên kiểm tra sản phẩm cẩn thận trước khi đóng gói và gửi sản phẩm cho khách hàng.",0,,,0
1719,"(*) Đánh giá không tính điểm
Sách ko đc bọc nên bị nhăn vài chỗ, có vết  bẩn ở gáy sách",0,,,0
1743,Hôm trước tiki giao cho mình bộ hộp cơm mà trong bị vỡ. May mình kiểm tra trước nên bạn giao hàng đã mang đi luôn. Đây là lần đầu tiên mình mua sản phẩm trên tiki bị lỗi. Mong tiki đóng hàng cẩn thận hơn. Tiki có thể giao lại cho mình bộ khác không ?,0,1,,0
1839,Mình mua mấy lần của tiki thì thấy tiki luôn đóng gói sơ sài nhưng ít khi bị móp sách nhưng lần này sách mình bị móp ;-;;;;;;; 🥹,0,,,0
1850,"Mày sách đẹp tuy nhiên lúc giao đóng gói hàng vô cùng cẩu thả chỉ bỏ sách vào hộp rồi ko chèn mút chống sốc thậm chí cũng chẳng có seal hàng mới, sách thì xước và trầy rất nhiều trông như sách cũ hoàn toàn thất vọng",0,,,0
1861,"giao nhanh nhưng đóng gói quá sơ sài,truyện móp méo nhiều",0,,1,0
1907,"Sách như sách cũ, có cả bụi, đóng gói ko cẩn thận.",0,,,0
2016,"Chán sách không bọc bẩn, đóng gói sơ sài, thùng sách bị rách bạn shiper dễ thương",0,,1,0
2063,"Shop đóng gói ẩu quá, k có bao kính phủ sách, trời mưa ướt hết. Sách bị móp méo nữa",0,,,0
2085,"đóng gói sơ sài, hàng mỏng manh",0,,,0
2094,"sách không có bọc, xước bẩn phần bìa cảm giác như sách cho khán giả đọc thử r gửi cho mình vậy. thất vọng về cảm quan.nd sách thì hay",0,,,0
2143,mép sách bị hỏng do không đóng gói cẩn thận,0,,,0
2159,Đóng gói sách rất ẩu trải nhiệm mua sách tệ nhất  từng mua,0,,,0
2162,"cuốn sách đã rất hoàn hảo cho đến khi t thaây nó bị  cong mép, mong tiki đóng gói cẩn thận vs nên thêm chống sốc",0,,,0
2182,"Giao hàng nhanh, chưa được 1 ngày là đến. Nhưng chất lượng sách hơi tệ, bìa bị móp và rách một tí(như hình). Hi vọng tiki cẩn trọng hơn trong việc gói hàng và sớm phản hồi lại cho mình, mình muốn có được một cuốn sách hài lòng với chất lượng mà mình bỏ ra",0,,1,0
2198,Sách ko có bọc ngoài hơi dơ có chỗ hơi móp,0,,,0
2292,"Sách hơi nặng nhưng Tiki lót xốp chống sốc hay bọc góc sách mà chỉ bỏ trong hộp giấy carton thôi nên khi mình nhận sách thì hơi thất vọng vì góc sách bị cong và bìa hơi dơ vài chỗ.
Hi vọng Tiki sẽ cải thiện hơn trong phần đóng gói vận chuyển này !",0,1,,0
2327,Hàng điện tử mà đóng góp kém quá ko góp chống sốc j hết. Khay caddy bay bị cong 1 bên ko biết có lắp dc ko? Fai chờ ổ ssd về lắp mới biết dc,0,,,0
2329,"Ủng hộ tiki nhiều rồi nhưng sách lần này hơi bị cong, chắc do bỏ vô hộp bé quá, vẫn còn seal mà sách cong ?",0,,,0
2339,"Chán sách không bọc bẩn, đóng gói sơ sài, thùng sách bị rách bạn shiper dễ thương",0,,1,0
2376,"Giao hàng nhanh, nhưng sách bụi và bị bẩn. Vì không bọc sách mà cứ thế cho vào hộp, mình cũng hơi vô ý khi rạch giữa hộp nên bị rách mất. Nói chung là thất vọng khoản gói hàng của Tiki. TvT",0,,1,0
2416,"Giao hàng lần 1 thì sách bị dơ, trầy, gáy và và bìa bị dập. Đổi trả tốn hơn 1 tuần, sản phẩm đổi trả coi như tương đối tạm ổn. Gáy sách đóng sơ sài, lộ dây, bìa bị nhăn và ruột giấy có mùi mốc",0,,,0
2435,"Sách không được bọc kĩ, dính nhiều bụi, vết bẩn",0,,,0
2463,"Sách bị dơ, gói hàng ko kỹ",0,,,0
2478,sách mua về không hề có bọc xốp để chống xóc ảnh hưởng đến sách. quyển này ngoài nhăn ở đầu còn có vết xước sâu ở mặt sau quyển sách. mong tiki chú ý về cách đóng gói hàng sau này,0,1,,0
2502,tiki giao bị df dã man huy hiệu ngu dương bị df trúng mặt ship thì ko bọc tí gì chống sốc cả,0,1,1,0
2512,"không chắc chắc vì các lỗ vít bị khoan trước khá rộng nên lỏng lẻo
Hàng giao trầy xước nhiều
Bản hướng dẫn lắp đặt minh  họa sơ xài, mình ráp nhiều đồ gỗ tự lắp ráp trên Tiki rồi mà muốn đánh vật với cái tủ quá đơn giản này!!! Thường chả mấy khi để ý giá tiền nhưng tự nhiên Facebook hiện lại quảng cáo, thấy 400k quá đắt so với công lắp và sử dụng nên mới vào review.
KL: không đáng mua.",0,1,1,0
2534,Môt tô khum 17.5 x8 bể tan nát đáh giá sao đây ( ? ),0,1,1,0
2620,"sách về không có bọc bao đã đành, cũng không có giấy chống sốc, trầy hết bìa luôn, rồi thêm bị ẩm hay sao mà giấy nó cứ cong veo",0,1,1,0
2727,☺️hy vọng thật nhiều rồi thất vọng cũng thật nhiều. Nhìn phụ kiện bị xước bị cấn rất nhiều hơi bị bất ổn tâm lí luôn ạ 💔💔. Quả gói hàng của tiki làm mình cũng hơi bị hoảng không có lớp bọc chống sóc nào luôn.,0,1,1,0
2936,"Lần thứ 2 mua hàng của Tiki, lần thứ 2 thất vọng. Bỏ ra hơn 800 nghìn để mua 1 cái ram cũ, đã sử dụng về. Ram đã sản xuất và sử dụng từ 2018. Đóng gói thì quá kém, để 1 cái hộp nhỏ trong 1 cái hộp to mà ko có lót chống sốc. Hộp đựng ram thì ram đã bay khỏi vị trí. cầm thì súc sắc bên trong. May là lắp vào mt vẫn lên, không thì ko còn gì để nói. Đành nói là mất tiền ngu vì ko xem trước khi trả tiền. Sẽ ko bao giờ mua hàng của Tiki nữa. Nên học cách Shopee thì mới bán được.",0,1,1,0
2970,"đóng gói sơ sài , bên ngoài sách có sứt mẻ , chất liệu giấy chưa tốt",0,1,1,0
2971,"Mình vốn ko quan trọng hình thức. Đọc dách chỉ xem nội dung. Mua sách ở Tiki nhiều rồi nhưng đây là lần đầu tiên sách nhận được bị rách. Do đóng gói và vận chuyển không cẩn thận. Đợt này mình đặt nhiều đơn, lại nghĩ là sách nên cũng không kiểm kỹ. Về nhà mở ra mới thấy rách bị rách.",0,1,1,0
3068,"sách cũ, bìa bẩn, rách mép, đóng gói ẩu, giao hàng quá tệ",0,1,1,0
