Unnamed: 0,content,Quality,Service,Shipping,Packing
886,"Tôi thật sự rất không hài lòng về cung cách phục vụ của công ty. Tôi có đặt đơn hàng #958644129 ngày đặt hàng: 22:14 27/08/2022 . Nhân viên có giao hàng vào 12h30 ngày 30/08/2022, tôi đang ở cơ quan nên nhờ người nhà nhận giúp. Tình trạng kiện hàng như ảnh kèm theo, và nhân viên giao hàng nói là chuột cắn, người nhà tôi cũng lớn tuổi thương tình nhận hộ. Nhưng tôi hỏi các anh vài câu, có con chuột nào cắn mà góc sách lại vạt đi 1 cách bằng phẳng như thế không? Các anh đang liên kết với 1 đối tác vận chuyển và đối tác đó đang làm mất đi hình ảnh, uy tín của các anh, đó có phải là phương châm kinh doanh của các anh “ Lừa dối khách hàng” ? Và giờ các anh giải quyết đơn hàng của tôi như thế nào?",0,0,0,
1642,"Gia hàng bể, tôi muốn đổi hàng",0,0,0,
1692,"Thất vọng về sản phẩm, không phải hàng IGEA do mình mua IGEA khá nhiều. Mình tin tưởng mua hàng mà giao hàng không có tờ hướng dẫn lắp đặt, các miếng gắn thì không khớp nhau, lắp hơn 60p mới ra cái kiểu ngược lại. Cánh cửa thì cho vui hay sao mà lắp mãi không vào. Còn giao hàng thì siêu lâu. Bán hàng nên xem kĩ trước khi giao giùm. Say good bye tiki! Cho 1 sao nhé",0,0,0,
5043,tiki bảo hành gì lạ vậy. mua q.1 giao thì nhanh mà giờ bảo hành hẹn 21 ngày trg email là sao k bit. sp ban đầu xài được sau khóa password thì k vô đc. bỏ password laptop mới vô. Mua hàng điện tử tiki vậy sau này sao dám mua nữa. sp bảo hành 2năm chờ bảo hành 21 ngày chưa kể chờ nhân viên qua nhận hàng rồi trả lại. pó tay cty,0,0,0,
5371,"đầu không được chỉ đoc 2 giây trong bộ đĩa 2tr bạc của tôi còn không đọc đượcnj đĩa cùi nói gì
con không đổi trả hàng đươc 
giao hàng dởm h",0,0,0,
8674,"Thứ nhất: Tôi đặt đơn hàng từ 30/7 mà đến gần cuối tháng chín mới gửi hàng. Mặc dù đã có gọi cho tiki nhưng đến khi hàng gần đến nơi mới thông báo là đơn hàng muộn. 
Thứ hai: Mặc dù hàng được đóng gói kỹ càng những một góc của cuốn sách thì bị nát mất .",0,0,0,
886,"Tôi thật sự rất không hài lòng về cung cách phục vụ của công ty. Tôi có đặt đơn hàng #958644129 ngày đặt hàng: 22:14 27/08/2022 . Nhân viên có giao hàng vào 12h30 ngày 30/08/2022, tôi đang ở cơ quan nên nhờ người nhà nhận giúp. Tình trạng kiện hàng như ảnh kèm theo, và nhân viên giao hàng nói là chuột cắn, người nhà tôi cũng lớn tuổi thương tình nhận hộ. Nhưng tôi hỏi các anh vài câu, có con chuột nào cắn mà góc sách lại vạt đi 1 cách bằng phẳng như thế không? Các anh đang liên kết với 1 đối tác vận chuyển và đối tác đó đang làm mất đi hình ảnh, uy tín của các anh, đó có phải là phương châm kinh doanh của các anh “ Lừa dối khách hàng” ? Và giờ các anh giải quyết đơn hàng của tôi như thế nào?",0,0,0,
1642,"Gia hàng bể, tôi muốn đổi hàng",0,0,0,
1692,"Thất vọng về sản phẩm, không phải hàng IGEA do mình mua IGEA khá nhiều. Mình tin tưởng mua hàng mà giao hàng không có tờ hướng dẫn lắp đặt, các miếng gắn thì không khớp nhau, lắp hơn 60p mới ra cái kiểu ngược lại. Cánh cửa thì cho vui hay sao mà lắp mãi không vào. Còn giao hàng thì siêu lâu. Bán hàng nên xem kĩ trước khi giao giùm. Say good bye tiki! Cho 1 sao nhé",0,0,0,
5043,tiki bảo hành gì lạ vậy. mua q.1 giao thì nhanh mà giờ bảo hành hẹn 21 ngày trg email là sao k bit. sp ban đầu xài được sau khóa password thì k vô đc. bỏ password laptop mới vô. Mua hàng điện tử tiki vậy sau này sao dám mua nữa. sp bảo hành 2năm chờ bảo hành 21 ngày chưa kể chờ nhân viên qua nhận hàng rồi trả lại. pó tay cty,0,0,0,
5371,"đầu không được chỉ đoc 2 giây trong bộ đĩa 2tr bạc của tôi còn không đọc đượcnj đĩa cùi nói gì
con không đổi trả hàng đươc 
giao hàng dởm h",0,0,0,
8674,"Thứ nhất: Tôi đặt đơn hàng từ 30/7 mà đến gần cuối tháng chín mới gửi hàng. Mặc dù đã có gọi cho tiki nhưng đến khi hàng gần đến nơi mới thông báo là đơn hàng muộn. 
Thứ hai: Mặc dù hàng được đóng gói kỹ càng những một góc của cuốn sách thì bị nát mất .",0,0,0,
