Unnamed: 0,content,Quality,Service,Shipping,Packing
720,"hình thức giao hàng tệ thật sự, nhất là khâu đóng gói, sách về là bị nhăn hết, mong tiki khi đóng gói cẩn thận giùm cái",0,0,0,0
1094,sách vị rách mình rất k hài lòng. rách và còn bị bẩn nữa.,0,0,0,0
1095,Quá thất vọng về lần mua hàng này,0,0,0,0
1244,"Tệ , quá tệ , vô cùng tệ , mọi thứ điều tệ",0,0,0,0
1801,"đặt đơn chung với các cuốn khác, hàng bọc không kĩ nên giao về bị dập góc toàn bộ, gửi yêu cầu đổi hàng mới thì đợi hơn tháng mới thấy bên Fahasa tới thu hồi hàng, sau đó hơn một tuần sau thì gửi lại y cho mình y cái đơn cũ bị lỗi, thậm chí còn nát hơn cả lần đầu vì vận chuyện ẩu, thôi thì coi như rút kinh nghiệm lần đầu cũng là lần cuối, sau coi tên nhà bán thật kĩ, nếu là Fahasa thì né vĩnh viễn.",0,0,0,0
4246,"Hàng đóng gói quá sơ sài, mở ra thì lỗi hở một mảng màu. Yêu cầu đổi trả thì lại bắt bớ không được dính băng vào hộp? Khó hiểu??? Do dịch vận chuyển chậm chễ gần 2 tuần. Ai thông cảm cho tôi? Khách hàng là thượng đế?",0,0,0,0
5063,Máy lỗi. Nhận hàng mở ra kt thấy trầy. Đặt hàng hôm 28/2/2023. Giao 2/3/2023. Phiếu bảo hành thì 14/2/2023. Làm ăn gian dối.,0,0,0,0
5430,"Giao hàng nhanh, nhưng chất lượng sản sp rất kém. 
Một tấm vỡ không thể chấp nhận được (ko rõ do vận chuyển hay đơn vị bán)
Đây là lần 2 mua và cả 2 lần sản phẩm đều kém, rất kém
Liên hệ với shop rất tử tế để yêu cầu gửi lại tấm bị vỡ để hoàn thiện thì không thấy trả lời. 
Tiki nên xem lại shop và giải quyết đơn hàng này.",0,0,0,0
720,"hình thức giao hàng tệ thật sự, nhất là khâu đóng gói, sách về là bị nhăn hết, mong tiki khi đóng gói cẩn thận giùm cái",0,0,0,0
1094,sách vị rách mình rất k hài lòng. rách và còn bị bẩn nữa.,0,0,0,0
1095,Quá thất vọng về lần mua hàng này,0,0,0,0
1244,"Tệ , quá tệ , vô cùng tệ , mọi thứ điều tệ",0,0,0,0
1801,"đặt đơn chung với các cuốn khác, hàng bọc không kĩ nên giao về bị dập góc toàn bộ, gửi yêu cầu đổi hàng mới thì đợi hơn tháng mới thấy bên Fahasa tới thu hồi hàng, sau đó hơn một tuần sau thì gửi lại y cho mình y cái đơn cũ bị lỗi, thậm chí còn nát hơn cả lần đầu vì vận chuyện ẩu, thôi thì coi như rút kinh nghiệm lần đầu cũng là lần cuối, sau coi tên nhà bán thật kĩ, nếu là Fahasa thì né vĩnh viễn.",0,0,0,0
4246,"Hàng đóng gói quá sơ sài, mở ra thì lỗi hở một mảng màu. Yêu cầu đổi trả thì lại bắt bớ không được dính băng vào hộp? Khó hiểu??? Do dịch vận chuyển chậm chễ gần 2 tuần. Ai thông cảm cho tôi? Khách hàng là thượng đế?",0,0,0,0
5063,Máy lỗi. Nhận hàng mở ra kt thấy trầy. Đặt hàng hôm 28/2/2023. Giao 2/3/2023. Phiếu bảo hành thì 14/2/2023. Làm ăn gian dối.,0,0,0,0
5430,"Giao hàng nhanh, nhưng chất lượng sản sp rất kém. 
Một tấm vỡ không thể chấp nhận được (ko rõ do vận chuyển hay đơn vị bán)
Đây là lần 2 mua và cả 2 lần sản phẩm đều kém, rất kém
Liên hệ với shop rất tử tế để yêu cầu gửi lại tấm bị vỡ để hoàn thiện thì không thấy trả lời. 
Tiki nên xem lại shop và giải quyết đơn hàng này.",0,0,0,0
