Unnamed: 0,content,Quality,Service,Shipping,Packing
154,"giao hàng siêu siêu chậm, nhắn tin thì nhân viên hỗ trợ bảo ko biết bao giờ giao, thề không bao giờ mua hàng tiki nữa",,0,0,
196,"Sách ko có vấn đề gì. Mình đã đặt rất nhiều đơn hàng trên Tiki và đều thanh toán trả trước, đến lần này shipper đòi chụp cmnd để nhận hàng. mình bảo chụp ảnh xác nhận thôi, nhưng shipper khăng khăng phải chụp cmnd, còn ko thì ko được nhận hàng. Mình ok ko nhận hàng nếu bắt buộc phải chụp cmnd. Khi mình gđ cho Tiki thì nhận được câu trả lời chụp ảnh khách nhận hàng hoặc chụp cmnd, sau đó ship quay lại giao hàng và KHÔNg cần chụp gì hết. Tiki nên bỏ chính sách chụp cmnd của khách để xác nhận đã nhận hàng và training lại shipper về chính sách giao hàng khi khách đã thanh toán trước, vì cmnd là tài sản riêng tư của mỗi người, mình ko rõ mục đích chụp cmnd của khách để làm gì",1,0,0,
549,Giao hàng quá lâu. Gửi yêu cầu giải quyết hì ko thấy ai giải quyết hết,,0,0,
566,"Hi Tiki, 
 cuốn sách không phải hay ma là cuôn sách rất cân thiết cho nhưng ai muốn nâng hiểu biết về tài chính .
Minh đa nhân dc sách nhưng không vui la khi nhận gói hàng , thi có ai đó đã khui nó  trước và bìa sách bị trầy (hình đính kèm), vi nó không ảnh hưởng nhiều nên minh van se mua sách tren TIKI  
* để những  người sau mình co ý định mua sách thi minh nhan các bạn môt điều. minh không phải là chim mồi hay là người dìm hàng shop . nên minh se đê số DT va địa chỉ rõ rang 
Tú ; ***
dc: ấp 2 , xã Phước Khánh, Nhơn Trạch, Đồng Nai",1,0,0,
614,Giao hàng chậm so với ngày dự kiến giao. Nhân viên chăm sóc khách hàng không nhiệt tình. Khuyến khích khách trả hàng hoàn tiền. Thấy thất vọng tràn trề,,0,0,
693,"sách mới về nhận hồi chiều, nhờ người thân nhận dùm nên ko kiểm tra trước khi nhận. Nhìn trang sách thì đẹp nhưng giao hàng ko cẩn thận nên sách mốp méo. Đối vs những người yêu sách thì điều này thật tệ. Mong shop quản lý bên vận chuyển hàng tốt hơn. Như thế này thì khách hàng như tui sẽ ko mún mua hàng nữa. Đáng lẻ đánh giá 5 sao mà vận chuyển hàng thì nhận 3 sao thui",,0,0,
789,"Giao hàng lâu , hỏi shop thì k trra lời",,0,0,
807,"Tiki nên coi lại thái độ nhân viên của mình, là shipper thì cũng là bộ mặt đại diện của công ty mà nói chuyện thách thức khách hàng là có muốn mua hàng hay không? Đứng đợi khách hàng chưa đến 5 phút mà tỏ vẻ cực kì thô lỗ. Ngoài ra, còn để khách tự bưng hàng( cái bàn nặng) vô nhà trong khi bản thân bỏ đi không nói tiếng nào. Kể cả bàn có tốt đi chăng nữa thì thà không mua còn hơn. 100k tiền ship mà thái độ tệ chưa bao giờ tệ hơn. Bạn nào muốn mua thì nên suy nghĩ lại nhé.",,0,0,
825,Ko giao hàng mà báo thành công,,0,0,
850,"(*) Đánh giá không tính điểm
Mình vẫn chưa nhận được hàng.",,0,0,
916,thời gian nhận được  sách là cực lâu. gần 20 ngày. làm mất luôn hứng đọc. tiki làm việc càng ngày càng chán,,0,0,
998,"Giao hàng quá chậm, ko có hướng dẫn lắp ghép.",,0,0,
1124,"1 sao cho NJV, 1 sao cho Tiki về cách xử lý rườm rà và ko hề có cách giải quyết nào cả, 1 sao cho việc mình tới bưu cục NJV và thấy hàng điện thoại của mình nằm trong hộp nhàu nát, ẩm ướt và nằm trong đống hàng vứt xó dưới đất. Super thất vọng về dịch vụ của Tiki lần này. Chắc tôi sẽ tạm ngưng Tiki 1 thời gian vì tâm trạng ko hề vui sau khi đặt 1 món hàng giá trị nhưng lại phải đi gọi đt liên tục, hỏi han, bất an chờ đợi mà ko đc bên Tiki cập nhật bất cứ thông tin gì trên app trong 1 thời giàn dài gần 2 tháng.",,0,0,
1125,Đối với sản phẩm nhận được rất hài lòng. Tuy nhiên thời gian phản hồi hàng quá chậm. Đơn hàng đặt ngày 11.11 đến 23.11 mới nhận được. Kiểm soát đơn hàng và xử lý đơn không chuyên nghiệp...,1,0,0,
1127,"Mất phí giao hỏa tốc nhưng vận chuyển lâu. Giao hàng thái độ quá kém, 2 lần báo không liên lạc được với khách nhưng thực tế chỉ nhá máy khách, khách gọi lại có chuông nhưng cố tình không nghe máy, tắt đi báo máy bận. Thực sự rất bực mình với thái độ của giao hàng và dịch vụ phục vụ",,0,0,
1169,"Màn hình đẹp, sắc nét, k hở sáng. Thiết kế đẹp, giao hơi lâu. Mình đặt tiki now mà giao tận ngày hôm sau. Chính sách bảo hành của sản phẩm ko rõ ràng, mình đã gọi bên samsung, họ báo sẽ kích hoạt bảo hành sau 7 ngày, k biết bên tiki có hỗ trợ kích hoạt k, vì mình lươts cmt thấy mn đều phán ánh về vấn đề này",1,0,0,
1181,"Mình không hài lòng trong cách Vua Nệm xử lý đơn hàng và giao hàng.
Đặt hàng từ ngày 1, tới ngày 9 đóng đơn ""giao thành công"" do thời gian, hẹn 11 giao.
Rồi tới 12 im bặt, liên hệ rồi 13 vẫn chưa giao, tới 14 vẫn im.
Nếu không hỏi chắc các bạn không giao cho mình luôn. 
Vẫn chưa nhận được hàng hóa, 2 sao cho việc có người trả lời chat.",,0,0,
1429,"Đơn hàng Tiki now mặc dù có phí nhưng giao trễ hơn dự kiến mà không có bất kỳ lý do hay thông báo gì cho khách hàng cả.
Các lần trước thì không vấn đề, nhưng sai sót lần này gây ảnh hưởng đến kế hoạch từ trước của tôi.
Đề nghị bộ phận giao hàng Tiki now xem lại cách làm việc của mình.",,0,0,
1634,Giao hàng quá lâu. Xem lại cách làm việc của tiki,,0,0,
