Unnamed: 0,content,Quality,Service,Shipping,Packing
99,"shopp gói hàng không cẩn thận , không quà , shipper lần 1 rất tệ , lần 2 đỡ hơn nhưng cảm giác không tôn trọng khách hàng lắm",,0,0,0
854,"sách không được bọc, khi đặt hàng có treo logo tikinow nhưng bị chuyển thành tikifast, delay giao hàng 2 lần không rõ lý do. nhận hàng sau 10 ngày đặt",,0,0,0
2244,"Tiki giao trễ 3 ngày so với ngày dự định giao dù mình có gói tiki now.
Sách happy live ok nhưng mình thấy bao book care không cẩn thận nên mỹ quan hơi xấu. Mong tiki bao hàng đóng gói kỹ hơn cho các đơn sách sau này.",,0,0,0
5205,"Nội dung sách thì mình không bàn tới vì đây là một quyển sách hay. Nhưng mình cực kì thất vọng về Tiki, mình đặt quyển sách có bookcare nhưng bookcare được bọc rất lỏng và cầm lên tay thì phát hiện ra rách rồi. Mình phải dùng kim bấm bấm lại. 
Khi nhận hàng thì hộp hàng mình móp méo lung tung, chắc do bị quăng đi quăng lại. Phát hiện ra gáy dưới của sách bị bóp và làm bung keo sách. Thật sự mình rất khó chịu về cách làm việc này của Tiki. Tiki cần xem lại cách làm việc và bảo quản sách, nếu không thì mọi người sẽ quay lưng!
Lần đầu đánh giá 1 sao cho Tiki, không phải vì sách dở mà vì cách làm việc, bảo quản sách!",,0,0,0
5549,"Giao hàng thiếu nguyên bộ phát wifi nhận được mỗi củ sạc và dây lan. Phản hồi từ Nhận hàng từ 9/6 đến hôm nay 23/6 mới giải quyết lại bảo không chấp nhận phản hồi của khách. Hàng các ông giao thiếu thì trách nhiệm của các ông, tôi trả tiền đầy đủ là hàng của tôi, lại bảo phải quay video mở hàng, tôi là người dân không có điện thoại để quay các ông gói hàng thiếu bắt tôi phải nhận ah. Tổng trọng lượng tôi nhận được có 0,3kg cả vỏ hộp tiki và hộp sp công ty thử đóng gói đầy đủ 1 sản phẩm tương tự đem cân xem bao nhiêu mà mất 2 tuần ko giải quyết cho khách",,0,0,0
5795,"Chờ hơn 3 tháng nhận hàng về và chỉ có mỗi cái hộp như hình bên dưới. Không có miếng dán, trong hộp không có thanh ngang để giữ giấy vệ sinh, và không biết là sản phẩn có tờ hướng dẫn sử dụng không, (mình nghĩ là sẽ có) nhưng sản phẩm mình nhận cũng không có nốt. Tất cả những gì mình nhận được chỉ là cái hộp như hình đính kèm.
Nhắn tin để shop hỗ trợ thì nhận được câu trả lời là ""check kho báo có miếng dán bên trong"". Đọc tới đây là mình hết kiên nhẫn để nhắn tin cho shop nữa. Mình hối hận vì không quay clip lại để chỉ việc đưa cái video đó lên là xong và không cần phải tìm cách chứng minh là sản phẩm mình nhận là thiếu. Thực sự là rất thất vọng, đã cố đợi 3 tháng để giờ tiền mất sản phẩm thì k xài được như vậy đây.",,0,0,0
6020,"TikiNow nhưng giao khá lâu, đặt từ đêm mà sắp đi làm về vẫn chưa giao. Gọi tổng đài thì không tiếp nhận.
Hàng thì dán tem dễ vỡ nhưng không bọc lót gì cả có mỗi cái ổ cứng quăng trong cái hộp. Tin tưởng Tiki mà thế đấy :))",,0,0,0
6057,"Ở HN mà đặt gần 15-20 ngày mới nhận đc sp, k liên hệ đc với shop, sách k có bookmark, k bọc, cho vào hộp dính mưa ướt hết! 1 sao!",,0,0,0
6753,"Mua 2 cuốn, sách có dính dơ chút xíu. Hộp sách bị móp méo, nhân viên giao hàng không đồng ý cho kiểm hàng dù mình chỉ muốn kiểm tra số lượng nói cty không cho kiểm. mình nói lắm mới cho kiểm số lượng.
Hy vong tiki xem lại nguồn hàng.",,0,0,0
8610,"Mình quá thất vọng với sản phẩm, người vận chuyển.
Mình đã nhờ 1 người bạn nhận hộ, nếu là mình thì sẽ không nhận sản phẩm đó.
Bán sách mà không bọc 1 cái gì luôn, để 1 cuốn sách không, vận chuyển thì mưa ướt hết sách, rồi đọc sao, phơi khô nó phồng lên hư hết cả cuốn sách.
Thật không thể chấp nhận được luôn.",,0,0,0
99,"shopp gói hàng không cẩn thận , không quà , shipper lần 1 rất tệ , lần 2 đỡ hơn nhưng cảm giác không tôn trọng khách hàng lắm",,0,0,0
854,"sách không được bọc, khi đặt hàng có treo logo tikinow nhưng bị chuyển thành tikifast, delay giao hàng 2 lần không rõ lý do. nhận hàng sau 10 ngày đặt",,0,0,0
2244,"Tiki giao trễ 3 ngày so với ngày dự định giao dù mình có gói tiki now.
Sách happy live ok nhưng mình thấy bao book care không cẩn thận nên mỹ quan hơi xấu. Mong tiki bao hàng đóng gói kỹ hơn cho các đơn sách sau này.",,0,0,0
5205,"Nội dung sách thì mình không bàn tới vì đây là một quyển sách hay. Nhưng mình cực kì thất vọng về Tiki, mình đặt quyển sách có bookcare nhưng bookcare được bọc rất lỏng và cầm lên tay thì phát hiện ra rách rồi. Mình phải dùng kim bấm bấm lại. 
Khi nhận hàng thì hộp hàng mình móp méo lung tung, chắc do bị quăng đi quăng lại. Phát hiện ra gáy dưới của sách bị bóp và làm bung keo sách. Thật sự mình rất khó chịu về cách làm việc này của Tiki. Tiki cần xem lại cách làm việc và bảo quản sách, nếu không thì mọi người sẽ quay lưng!
Lần đầu đánh giá 1 sao cho Tiki, không phải vì sách dở mà vì cách làm việc, bảo quản sách!",,0,0,0
5549,"Giao hàng thiếu nguyên bộ phát wifi nhận được mỗi củ sạc và dây lan. Phản hồi từ Nhận hàng từ 9/6 đến hôm nay 23/6 mới giải quyết lại bảo không chấp nhận phản hồi của khách. Hàng các ông giao thiếu thì trách nhiệm của các ông, tôi trả tiền đầy đủ là hàng của tôi, lại bảo phải quay video mở hàng, tôi là người dân không có điện thoại để quay các ông gói hàng thiếu bắt tôi phải nhận ah. Tổng trọng lượng tôi nhận được có 0,3kg cả vỏ hộp tiki và hộp sp công ty thử đóng gói đầy đủ 1 sản phẩm tương tự đem cân xem bao nhiêu mà mất 2 tuần ko giải quyết cho khách",,0,0,0
