Unnamed: 0,content,Quality,Service,Shipping,Packing
273,"Cực kì không hài lòng về cách đóng hàng của Tiki với sản phẩm có giá trị lớn như iPhone. Đóng hàng cẩu thả, vận chuyển móp méo, biến dạng cạnh hộp iPhone. Nhân viên giao hàng cũng không đối soát khi giao đối với sản phẩm có giá trị lớn. Cực kì không hài lòng!!!",,,0,0
359,"Bên tiki không giải đáp thắc mắc về giao hàng trễ 1 tuần. Mình báo hủy mấy lần mà cuối cùng hok đx, khi phải nhận từ shipper thì nhận được hàng không được bọc bao nilong nên bị ướt sách.",,,0,0
511,"Hộp bị hư hỏng lúc vận chuyển rất nhiều, HUA vốn ko có seal rồi thêm cả ko chống sốc nên bookmark bị rớt ra cong vòng in dấu hằn lên🥲",,,0,0
682,đóng gói tệ vận chuyển viettel ship đè hàng kinh khủng,,,0,0
900,Giao hàng chậm hơn so với dự kiến. báo sai hoãn mà bản thân ko biết thông tin. Đóng gói,,,0,0
1002,"Dạo gần đây Tiki đóng hàng đúng chán, mua sách thì ko bọc đàng hoàng, giao hàng đi tỉnh mà đóng gói chỉ có 1 hàng băng keo. Giả sử trời mưa thì hàng bị ướt là chắc rồi, lúc xưa hài lòng về đóng gói hàng hoá đẹp bao nhiêu thì bây giờ thất vọng bấy nhiêu. Hi vọng tiki nâng cấp dịch vụ này",,,0,0
1016,đóng gói tệ vận chuyển viettel ship đè hàng kinh khủng,,,0,0
1317,"Dù sản phẩm bị phản ánh rất nhiều về chất lượng đóng gói hàng hoá nhưng tiki vẫn không sửa, rất thất vọng về lần mua hàng này. ổ cứng không bọc xốp chống sốc hay gì cả cứ thể thả vào trong hộp bên ngoài nhãn cũng không ghi là ổ cứng thì bên vận chuyển sao biết đó là ổ cứng mà để nhẹ nhàng được? về phần thông tin của ổ thì cũng nhìn cũng có vẻ không được tốt lắm, không biết có phải là do vận chuyển bị vứt quăng quật không? Thêm nữa lúc đầu đặt ở kho HN về sau tự chuyển về kho HCM cũng không thấy thông báo lại cho KH, trong khi đó HCM đang dãn cách. Nói chung lần mua này trải nghiệm khá tệ",,,0,0
1410,"(*) Đánh giá không tính điểm
Hàng điện tử mà hộp bị nứt rách thế này. Cần chú ý khâu vận chuyển ghi chú rõ ràng để bảo vệ sản phẩm.",,,0,0
1474,Giao hàng sơ sài ko có lớp bảo vệ,,,0,0
1498,"(*) Đánh giá không tính điểm
Sách bìa cứng mà shipper để hộp nát bét, hỏng cả góc sách. Đóng gói cũg ko bọc góc lại gì cả",,,0,0
1538,"Xin được phép đánh giá 1* cho Tiki vì trải nghiệm quá tệ.
Về vấn đề giao hàng: mình không nghĩ ở tỉnh lẻ lại giao hàng lâu đến như vậy (bình thường mình đặt ở HN nhưng do đang ở quê tránh dịch).
Thứ hai: một quyển sách không có một chút bọc sách nào, thử hỏi vứt quăng quật ở trạm kiểm hàng rồi lúc giao hàng thì nó như nào!?
Không thể diễn tả hết được sự thất vọng này.",,,0,0
1637,"Mua 3 cuốn Karotei, Naoko với 11 chữ, đóng gói giao hàng nhanh nhưng mà sơ sài, may mà shipper cẩn thận nên hộp không bị móp méo gì ảnh hưởng sách bên trong.
2 cuốn kia bình thường chỉ riêng cuốn 11 chữ gáy trên bị tì sẵn nhìn rất xấu rất bực mình luôn. (k phải do vận chuyển). Nhưng mà bọc plastic lại thì đỡ hơn. 
Trước giờ đều OK, đây là lần đầu tiên mình bị như vầy nên hơi khó chịu. Mong là sẽ không có lần sau.",,,0,0
1697,"Hàng giao trễ gần 10 ngày, hộp thì đóng gói quá tệ, hộp sản phẩm rách tệ. chất lượng sản phẩm tạm ổn",1,,0,0
2013,"Mình biết chị Linh rồi mới mua sách nên không bàn nhiều về nội dung. Còn hình thức in ấn đóng gói, vận chuyển thì hơi tệ. Gãy mất 1 góc sách của mình. Keo dán thì hơi quá và khi mở từng trang ra nó bị rách ra. Hơi thất vọng :)",,,0,0
2163,Mình là người rất yêu Sách. Mà nhìn bao bì được đóng gói như thế này. Không rõ đây là lỗi đóng gói của Tiki hay bên vận chuyển nhưng Thùng hàng bị bung ra. Sách thì bị rách trang. Đề nghị tiki thu hồi hàng hoàn tiền sản phẩm này cho mình,,1,0,0
2315,"Chưa đọc nhưng lúc nhận là thấy khó chịu vì hộp ướt rồi, 1 phần do mình nhờ ng nhà nhận nên cũng ko ktra kĩ, lúc mở ra shop gói hàng cẩu thả, ko bọc nilon hay chống sốc trời mưa shipper che ko kĩ làm uớt hộp ngoài nên cũng ướt hết sách bên trong 😡🤬",,,0,0
2333,"mình mua sách để đọc nên cũng không quá quan trọng hình thức, nhưng hầu như lần nào giao đến cũng bị móp, bẹp gáy sách. đề nghị tiki phản hồi đơn vị đóng gói và vận chuyển.",,,0,0
2384,Giao trễ hơn 1 ngày so với ngày được báo. Sách bị quăn góc nhiều do đặt trong hộp lớn mà không có bọc gì. Bìa cũng hơi bị trầy. Nhưng mà ruột sách không bịa ảnh hưởng nhiều nên tạm ổn. Có kèm theo 1 bookmark nhỏ xinh,1,,0,0
2663,"Giao hàng lâu , mặc dù hàng tốt nhưng hàng gói xấu . Shop nhắn tin nhầm",1,1,0,0
2733,"Trước giờ tiki chưa bao giờ làm mình thất vọng, nhưng lần này lại khác. Có vẻ khâu vận chuyển đã khiến góc sách bị cong, tuy không nhiều, nhưng đối với người yêu sách thì xót lắm T^T",1,1,0,0
2864,Giao hàng siêu lâu. Mình chọn giao hàng trong 2h từ 5-6/9 mà 14/9 mình mới nhận đc sách. Đóng gói không cho vào hộp mà chỉ bọc giấy vs bọc 1 lớp xốp mỏng nên bị gãy hết góc sách. Tuy không ảnh hưởng đến nội dung nh mất thẩm mĩ ghê ghớm 🥲 trên ảnh là mình đã nắn lại rồi chứ lúc nhận nhìn bẹp dúm cái góc huhu mong shop chú ý hớn,1,1,0,0
3486,"chờ rất lâu, cho thời gian giao hành dự kiến xong tới hôm đó lên thấy đơn hàng chưa được xác nhận.
biết là tiki gói qua loa rồi nhưng nhận sốc thật sự, cuốn hống không được bao nên hơi bụi với móp góc, cuốn đen được bao hẳn hoi đấy nhưng móp góc, bụi x2,x3 lần, hơi nản",1,1,0,0
3523,"Gói hàng sơ sài, giao hàng lâu, khi nhận được hàng, vỏ hộp bị móp khá nhiều. Mong shop nên cải thiện những đơn hàng sau, tập gói hàng cho tử tế. Vì đồ linh kiện điện tử trong lúc vận chuyển xa rất dễ hư. Cảm ơn.",1,1,0,0
3694,shop không xuất được hóa đơn như cam kết,1,1,0,0
3764,"Hàng bị móp méo và bị ướt nhẹ khi nhận được. Có thể thông cảm nếu là hàng bình thường, nhưng là hàng điện tử thì sẽ bị ảnh hưởng đến chất lượng sản phẩm. Thời gian giao cũng trễ hơn so với thời hạn cam kết. Khá thất vọng với lần đầu tiên mua ở shop!",1,1,0,0
3912,"thời gian giao hàng quá lâu. hộp sp móp méo, sp trong hộp lõng lẽo, phụ kiện bung ra tùm lum. rất không hài lòng. mua sp trên 10 triệu chứ phải mua sp mấy trăm ngàn đâu. tiki làm ăn chán đời",1,1,0,0
