Unnamed: 0,content,Quality,Service,Shipping,Packing
0,"dùng chán lắm, mau hết pin",0,,,
1,Mình đặt hàng màu trắng shop giao màu đen,,0,,
2,"bìa sách hơi mỏng, vỏ hộp giao bị bóp méo",0,,,0
3,Không hiểu kiểu gì nà lại giao cho mình 1 cuốn unseal 🙃 gói cũng không bao giờ có bọc chống sốc càng ngày càng giảm chất lượng h thêm vụ unseal nữa mắc mệt,,0,,0
4,"Giao sai màu, không biết tại sao nfc không dùng được",0,0,,
5,"Không hiệu quả, chuột vẫn vào",0,,,
6,"Mình cũng đã không hài lòng việc bảo quản sản phẩm của bên Tiki Trading từ hôm mua hơn 10 dây giấy vệ sinh hoặc mua giấy hộp đều bị móp méo. Đến hôm nay nhận 10 ram giấy A4 nghĩ rằng 1 thùng 5 ram thì mình sẽ nhận được 2 thùng nguyên vẹn hoàn chỉnh. Đây nhận được 10 Ram giấy trong bao nilong trắng bị sờm rách xong băng bằng băng dinh tứ lung tung, làm cho ram giấy nào cũng dính nhằng nhằng. Rât không hài lòng và băn khoăn về chất lượng hàng hóa",0,0,,0
7,"- Hộp rất cũ, không có bọc nilon, bị rách ở hầu hết các góc mép, không có 1 tem dán nào ở bên ngoài.
- Bao bọc máy bị rách, hình thức xấu, gây phản cảm.
- Tờ hướng dẫn bị gấp, nhăn góc",0,,,0
8,Cắm điện đèn sáng nhưng không có sạc usb như trong mô tả.,0,,,
9,Tệ: giao nhầm hàng. Yc giao lại sớm nhất.,,0,,
10,ổ lỗi vì khi cắm phích vào lõng lẽo ko chặt. đáng 1 sao.,0,,,
11,"hàng là ổ cứng hdd, mà không lót bất cứ 1 cái lớp chống shock nào? hộp khi nhận rách cả ra. Lần 1 nhận hàng cũng tương tự, hộp rách, hdd kiểu lưu kho lâu ngày cáu bẩn. đã liên hệ support yêu cầu để đổi trả và bọc hàng cẩn thận cho lần sau rồi. 
Lần 2 nhận hàng vẫn như vậy!?!?
Tiki không biết lắng nghe góp ý của khách hàng thì phải?!?!",0,0,,0
12,"Review 3 sao về chất lượng bản tái bản của Nhã Nam: bìa mờ, xấu hơn bản cũ, sai lỗi chính tả và lỗi typo. Tiki giao nhanh và đóng gói tốt. 
Nội dung sách hay.",1,,,1
13,giao cho tôi găng tay thực phẩm của người nào đó chứ không phải cục khuyếch đại wifi Mercusy,,0,,
14,Miếng dán không đúng như hình giới thiệu.,0,,,
15,"sản phẩm kém chất lượng, đầu ống với đầu vòi k dính với nhau lỏng lẻo",0,,,
16,tam được tiền nào của nấy,0,,,
17,"Treo máy XP 350B, giao máy XP 365B, treo máy này bán máy kia khác nào lừa khách hàng. Khiếu nại phải chờ và chờ không biết đến khi nào",,0,,
18,"Đóng gói cẩn thận, giao hàng siêu nhanh nhưng đã bị rách tem hộp. Giờ 2020 rồi mà vẫn còn bản v2.0 thì cũng đến chịu rồi. 

Đã lắp đặt và chạy thử, sóng khỏe, tải nhanh.",1,,0,1
19,Đóng gói sơ Sài hàng bị móp méo,,,,0
20,"Mới dùng 1 lần, đầu ngón tay đã rách",0,,,
21,"mua lần 2 rồi nhưng thất vọng ghê, đặt 2 kệ 2 tầng nhưng chỉ giao có 1, làm mình phải đặt lại",0,,,
22,"Đang mừng vui vì mua được sách nguyên vẹn góc gáy thì lại phát hiện sách bị đóng ngược mất hai chục trang.
Thôi thì vẫn đọc được nên không yêu cầu đổi trả. Chắc lỗi thế nên mới được sale 40%
Sách đẹp, minh họa sinh động, phù hợp với học sinh cấp II, III",1,,,
23,"shipper nhận hàng nhưng giữ tận 2 ngày mà không giao cho mình, nói chuyện rất khó chịu",,,0,
24,"mưa ướt ntn mà k có bọc chống sốc gì ở trong cả, cũng mau sách mình k bị ướt lắm nhma k iu nỗi tiki, nếu nhã nam k sale trên tiki thì mình cũng k mua",,,,0
25,"Giao nhanh, bọc book care đẹp nhưng có vài trang bị lỗi lủng lỗ ở giữa",0,,1,1
26,"Mình mua 1 đơn 6 món, mấy quyển kia thì OK. riêng quyển  này bìa sách bị bóc nhìn không thẩm mỹ tí nào. Tiki lần sau nên kiểm tra sách trước khi giao chứ mình nhận mà như sách cũ thế này thật tình không ưng xí nào lun",0,0,,
27,mạng vẫn yếu chưa như ý deco e4,0,,,
28,"Vừa nhận hàng mà thất vọng thật sự, sách k được bọc gì cả, đã vậy bên trong còn rách :)
Mình đã nhắn tin cho bên nhà sách, mong nhanh chóng nhận được phản hồi. Mình thấy nhiều bạn phàn nàn về vấn đề đóng gói hàng rồi nhưng có vẻ vẫn không cải thiện.",0,0,,0
29,Sao gấu màu vàng mà cái chăn màu nâu đâu đúng sản phẩm .. mà sao shop không gọi ?,0,0,,
30,"Tôi đợi mãi không thấy hóa đơn đỏ. bảo là sau 14 ngày có, nhưng nay thì ko biết mấy tháng rồi",,0,,
31,Giao hàng nhanh. Đúng sản phẩm,,1,1,
32,"Tiện lợi, gọn , thẩm mỹ   nhưng phần cây ống thép nối lại với nhau yếu, không chắc chắn lắm.",1,,,
33,"Ổ cứng cần phải được nâng niu cần có khung chống sốc, ngoài hộp caton ra thì chỉ có cái túi chống sốc không biết hàng có bị ảnh hưởng không nữa. Mình sẽ phản hồi sau khi test lại sau.",,,,0
34,"Bị khô vón cục,không bơm keo ra được",0,,,
35,"Chưa test hàng, chưa thể đánh giá. Nhưng tôi yêu cầu xuất hoá đơn VAT, giao xong báo khọng xuất. Đề nghị Tiki xem lại.",1,0,,
36,Hjjjb có thể giữ được su dung may tinh bang có thể giữ được,0,,,
37,"HDD box mua Tiki Trading kèm Tikinow thì nhận được loại đã qua sử dụng, hộp rách nát được quấn lại bằng băng dính không thể chấp nhận được. Đã vậy còn không có miếng mút cố định ổ cứng trong HDD box như các nhận xét khác. Hàng của Tiki Trading quá tệ.",,,,0
