id,title,content,rating
,Cực kì hài lòng,"Lần đầu mua máy đọc sách.
Mất rất nhiều thời gian suy nghĩ chọn PPW5 hay OA3.Cuối cùng quyết định mua luôn OA3 bản 32Gb.
Món quà tặng tuyệt vời cho cô em gái mới thi lên lớp 10.

Sản phẩm có vỏ nhôm cao cấp,nhẹ,độ hoàn thiện cao...giao hàng nhanh.Sản phẩm đáng để mua vì đầu tư cho tri thức,cho giáo dục.",5
,Rất không hài lòng,"Mình đặt bản 32gb, màu gold; bên bán hàng giao màu graphite mà không hỏi ý kiến bên mua. Dịch vụ quá tệ.",1
,Cực kì hài lòng,Máy xài thích! Cầm rất thoải mái và chắc tay,5
,Cực kì hài lòng,Hàng mới nguyên seal. Shop tư vấn rất nhiệt tình.,5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Rất không hài lòng,Sp khác review inbox trên YouTube và hướng dẫn chính hãng,1
,Cực kì hài lòng,,5
,Hài lòng,"mua trên tiki đắt hơn mua từ nhà phân phối 200k. Giá tiki ghi là 7350k, giá hóa đơn 7139k",4
,Cực kì hài lòng,,5
,Cực kì hài lòng,Sản phẩm như mô tả!,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,service rat tot. giao hang cung nhanh!!,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Lần đầu mua máy đọc sách.
Mất rất nhiều thời gian suy nghĩ chọn PPW5 hay OA3.Cuối cùng quyết định mua luôn OA3 bản 32Gb.
Món quà tặng tuyệt vời cho cô em gái mới thi lên lớp 10.

Sản phẩm có vỏ nhôm cao cấp,nhẹ,độ hoàn thiện cao...giao hàng nhanh.Sản phẩm đáng để mua vì đầu tư cho tri thức,cho giáo dục.",5
,Rất không hài lòng,"Mình đặt bản 32gb, màu gold; bên bán hàng giao màu graphite mà không hỏi ý kiến bên mua. Dịch vụ quá tệ.",1
,Cực kì hài lòng,Máy xài thích! Cầm rất thoải mái và chắc tay,5
,Cực kì hài lòng,Hàng mới nguyên seal. Shop tư vấn rất nhiệt tình.,5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Rất không hài lòng,Sp khác review inbox trên YouTube và hướng dẫn chính hãng,1
,Cực kì hài lòng,,5
,Hài lòng,"mua trên tiki đắt hơn mua từ nhà phân phối 200k. Giá tiki ghi là 7350k, giá hóa đơn 7139k",4
,Cực kì hài lòng,,5
,Cực kì hài lòng,Sản phẩm như mô tả!,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,service rat tot. giao hang cung nhanh!!,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Tốt,5
,Cực kì hài lòng,,5
