content,Quality,Service,Shipping,Packing
19,Đóng gói sơ Sài hàng bị móp méo,,,,0
24,"mưa ướt ntn mà k có bọc chống sốc gì ở trong cả, cũng mau sách mình k bị ướt lắm nhma k iu nỗi tiki, nếu nhã nam k sale trên tiki thì mình cũng k mua",,,,0
33,"Ổ cứng cần phải được nâng niu cần có khung chống sốc, ngoài hộp caton ra thì chỉ có cái túi chống sốc không biết hàng có bị ảnh hưởng không nữa. Mình sẽ phản hồi sau khi test lại sau.",,,,0
37,"HDD box mua Tiki Trading kèm Tikinow thì nhận được loại đã qua sử dụng, hộp rách nát được quấn lại bằng băng dính không thể chấp nhận được. Đã vậy còn không có miếng mút cố định ổ cứng trong HDD box như các nhận xét khác. Hàng của Tiki Trading quá tệ.",,,,0
40,Đóng gói tệ nên mình cho 2 sao,,,,0
50,thề chứ mong đợi sách về bao nhiêu xong nhìn quả đóng gói chán luôn =)))))))))))))))),,,,0
100,"Truyện đẹp nhưng tiki đóng gói hàng chán quá, box của mình bị móp hết, lần trc mua đã móp rồi lần này còn móp hơn",1,,,0
113,"Trước tiên chưa bàn đến nội dung sách, mình thật sự thất vọng với cách gói hàng bên tiki, đã mấy lần đơn hàng mình đặt bị đóng gói sơ sài, móp méo, cong góc sách, trông rất cũ nhưng mình đã bỏ qua, nhưng đến lần này, mình đặt sách cho bạn mình, chất lượng sách còn tệ hơn những lần trước nữa. Thật sự thất vọng bên khâu đóng gói của tiki . Nội dung sách thì mình chưa đọc, mình thấy nhiều người đề cử quyển này lắm nên mình mua đọc thử.",1,,,0
117,"Sách đẹp nha mọi người, nội dung thì đọc bao cuốn, mình có bản thường rồi nhưng thấy bản cứng cũng phải mua về để sưu tầm, chỉ có điều lúc nhận thì sách hơi bị móp, nhìn gói hàng chán thật sự, Tiki không lót miếng chống sốc gì hết, chỉ nhét đại cuốn sách vô,",1,,,0
131,"giao hàng nhanh nhưng shiper kì quá, đóng hộp ko có chống sốc nên mép sách bị tróc 1 tí.",,,1,0
132,"Chất lượng sách thì mình ko nói đến
Nhưng gói hàng khi mình nhận được thì rách hết 2 phần góc hộp, sách bên trong bị rách phần gáy sách, mong Tiki gói cẩn thận hơn",1,,,0
165,Đóng gói cực sơ sài không có chống sốc dù đã liên hệ tiki nhắc nhở chú ý đóng gói. Vỏ bị móp. Tôi ko biết hàng có vấn đề gì không? Mặt hàng này mà đóng gói như vậy tôi ko muốn nhận tí nào,,,,0
202,"Ko bàn về nội dung vì mình chưa đọc.
Nhưng về cách đóng gói sp của tiki thì mình xin cạn lời. vận chuyển đường dài nhưng ko hề có 1 miếng chống sốc nào. cạnh sách bị dập như này nhìn xem có xót ko??? ko biết sở thích đóng gói của tiki ntn hay do mình xui??? làm ơn thay đổi cách đóng gói dùm ạ. cảm ơn",1,,,0
269,"(*) Đánh giá không tính điểm
Đóng gói sơ xài vận chuyển cấn hết góc",,,,0
291,"- Sản phẩm đúng hàng chính hãng
- Đóng gói rất tệ, chỉ có ổn cứng bên trong bên ngoài là hộp đựng, ổn cứng không có miếng lót bảo vệ sản phẩm tránh bị va đập",1,,,0
302,"Đóng gói như sh!t: bóng đèn vứt lăn lóc trong thùng, gói bóng đèn bằng tờ giấy cũng không được? Tóm lại là chả đóng gói gì, chỉ là để cây đèn vào thùng giấy rồi ship.

Khớp đèn với kẹp bàn lỏng, phải chèn thêm giấy nhưng vẫn lỏng. Dùng tạm thôi! 

Hình thức đèn: đẹp.",1,,,0
314,"giao nhanh, nhưng hàng đóng gói rất ẩu chỉ cho 5 quyển sách vào hộp rồi gói lại, mình là người quý sách lên rất k hài lòng !",,,1,0
352,Tôi mua sản phẩm này nhưng chưa sử dụng. Hy vọng hàng chất lượng như mẫu mã. Chỉ có một điều nhỏ là hộp đóng gói bên ngoài của phin cà phê  bị móm méo và rách làm ảnh hưởng một chút tính thẩm mỹ khi người nhận kém vui.,1,,,0
370,"Sách giao nhanh, khi giao hộp còn nguyên ko có dấu hiệu quăng quật khi vận chuyển nhưng sách lại bị hỏng phần gáy. Shop nên xem lại khâu bao gói.",                                                                                                                                       ,,1,0
431,"Chưa bao giờ cảm thấy thất vọng với cách đóng hàng của tiki đến vậy, sách không được bọc nilon thì không thôi nhưng hộp bìa cũng bị thủng như thế này ạ ?",,,,0
433,"Đóng gói quá tệ, nhận hàng trong tình trạng hộp không nguyên vẹn, một đầu đã bị hở . Sách bên trong sờn cả mép",,,,0
448,"Mình mua sách trên tiki rất nhiều và khá hài lòng . Nhưng lần này thì THẤT VỌNG  thật sự 😞 
THẤT VỌNG vì cách đóng gói và vận chuyển sản phẩm :
- Đóng gói thì SƠ SÀI 
- Bìa cát tông đựng sản phẩm thì cũ , nát 
- Băng dính hộp đựng thì bị bung hết ra ngoài 
- Bên trong còn để mấy miếng bìa cát tông cũ ( cũng k hiểu tác dụng để làm gì ) 
- Mình mua 7 quyển mà bên trong cũng không được bọc , hay có lớp xốp gì cả , bìa hộp đựng thì mỏng nên khi vận chuyển sách có bị móp và bị xước  
 Mình là người rất giữ sách nên nhìn vậy thì rất chán , cảm giác như mua sách lướt vậy , chứ k được mới 100%  

Nói chung lần mua sách này mình cảm thất rất THẤT VỌNG về cách làm việc của tiki . Mong tiki hoàn thiện chỉnh chu hơn trong khâu đóng gói !",,,,0
489,"Giao hàng nhanh và Sách đẹp nhưng đóng gói sơ sài, sách không được bọc lại trước khi cho vào hộp tiki.",1,,1,0
497,"3 sao.
Ổ cứng là cái thứ dễ hư, làm ơn đọc comment của mọi người và lót thêm giấy hay thứ gì vào.
Hiện tại thì mình chưa gặp vấn đề gì với ổ cứng.",1,,,0
501,"Chất lượng sách như mọi khi. Nhưng việc đóng gói rất kém, đựng thẳng vào hộp carton không hề có 1 vỏ bọc dẫn đến rách nát góc sách. Dù đã mua khoảng 50 cuốn từ shop và có phản hồi nhiều lần nhưng không có cải thiện. Chắc chắn mình sẽ nghĩ đến chuyện mua từ shop khác.",1,,,0
532,"Mua lần đầu thấy chất lượng ok nên đánh giá 5 sao mắc dù giá khá chát,khâu đóng gói tệ (miếng dán cong vênh).Lần thứ 2 vẫn đóng gói tệ như lần đầu lại còn giao thiếu SP.mặc dù Tiki hỗ trợ rất nhiệt tình nhưng khi mình nhắn tin cho nhà bán và gửi hình ảnh SP giao thiếu thì shop im re luôn.Cạch mặt luôn từ bây giờ.",1,1,,0
550,"tôi đang cảm thấy khá thất vọng,gói hàng chẳng kỹ gì cả,chỉ cho sách vào hộp rồi vận chuyển,không hề có bất kỳ thứ gì bải vệ sách,đến cả màng bọc ngoài của sách cũng không có,cũng may là sách chỉ bị quăn mép một tý chứ chưa bị rách.",,,,0
612,Đóng gói hơi sơ sài nhưng sách không bị gì,1,,,0
677,Cần đóng gói cẩn thận hơn,,,,0
683,"Sách đóng gói tệ,  bị móp góc bìa",,,,0
688,không đóng gói kỹ........,,,,0
707,RAM xài ổn. Hộp đóng gói cũ chắc do sản phẩm đã cũ,1,,,0
727,"Rách bọc, y như các bạn khác đã review. Mình nghi ngờ việc nơi bán hàng lấy bớt giấy ra theo cách này. Lười đếm lại và đổi/trả, nên mình chỉ review vậy cho các bạn sau định mua thì né.",,,,0
742,không có tem bạc cũng như tem ở phần mở hộp. Chỉ có băng dính dán xung quanh hộp,,,,0
752,"Rất buồn khi bên đóng gói không bao bọc gì sách _x000D_
Tuy sách ko sao nhưng lại không được bao bọc kỹ càng😑",,,,0
