content,Quality,Service,Shipping,Packing
18,"Đóng gói cẩn thận, giao hàng siêu nhanh nhưng đã bị rách tem hộp. Giờ 2020 rồi mà vẫn còn bản v2.0 thì cũng đến chịu rồi. 

Đã lắp đặt và chạy thử, sóng khỏe, tải nhanh.",1,,0,1
23,"shipper nhận hàng nhưng giữ tận 2 ngày mà không giao cho mình, nói chuyện rất khó chịu",,,0,
47,Đợt dịch này không thể đòi hỏi giao hàng nhanh được nhưng không ngờ kho hàng mình đặt lần này lại từ tp HCM. Giao chậm hơn dự kiến 1 ngày thành 8 ngày và hộp thì móp méo. sách dập cong mép thậm chí rách gáy luôn.   Dù thông cảm dịch khoản giao hàng chậm nhưng đóng gói nát thì k chấp nhận được,,,0,
74,"Đặt giao hàng nhanh NOW, trả thêm phí để giao cho kịp.
vậy mà trễ tới 4,5 ngày mới giao tới tay, không 1 lời thông báo, email về thông tin giao trễ.
Trả thêm để giao nhanh mà nhận hàng còn trễ hơn dv giao tiêu chuẩn miễn phí. 
Phải chat rồi gọi tổng đài thì 2 hôm sau mới giao. Giao trễ xong gửi mail xin lỗi là xong. 
Đã vậy phí ship NOW còn NUỐT luôn.",,,0,
116,Ship rất tệ 1 sao còn nói năng thô tục với khác hàng dù khách hàng chỉ mới là học sinh,,,0,
136,Hàng về ngâm tại bưu cục! Đã trễ mà còn bị ngâm thêm 7 ngày! Mình phải tới bưu cục lấy! Thì thấy quản lý hàng hoá quăng tùm lum! Có trày sướt! Chất lượng đóng gói tệ! Chưa Trải nghiệm sản phẩm!,,,0,
146,"Ở sài gòn giao xuống đồng nai mà mất tận 7 ngày lâu lắc lâu lơ, mua lazada shopee giao nhanh hơn nhiều bởi vậy xoá tiki đây bái bai",,,0,
175,"Giao hàng quá chậm so với dự kiến, lỡ hết cả việc! Tạm thông cảm vì mùa dịch. Tuy nhiên Tiki cũng nên bồi thường cho khách hàng cho hợp lý.",,1,0,
193,"Thời gian giao hàng lâu, shipper không giỏi tìm địa chỉ, không được nhiệt tình_x000D_
Ngoài ra thì mọi thứ điều tốt",1,,0,
199,"Mình đã mua qua Tiki rất nhiều lần và hài lòng về cách làm việc. Từ xác nhận đơn hàng, mail, thời gian vận chuyển nhanh...

Nhưng cần hợp tác đào tạo hơn với các shiper về hợp lý lộ trình và thông báo khách. Đến khách A thì cần thông báo trước cho khách B. Phải có lộ trình. đến nơi mới báo mà cứ giục, có phải chờ cả ngày mỗi đơn hàng đâu. 
Mình luôn yêu cầu khi đặt hàng là gọi trước 30p đến 1h vì tính chất công việc.

Còn sản phẩm của mình mua lỗi chiếu tia 1 điểm. Sạc khoá pin hộp đầy đủ. Mong Tiki kiểm tra và ĐỔI giúp mình.",,1,0,
205,Vận chuyển không bảo vệ tốt làm nát sách của tôi. Tôi không thích sử dụng những quyển sách mua mới mà nhận trong trạng thái nát gãy trong quá trình vận chuyển như thế này.,,,0,
208,hàng giao bị trễ so với cam kết,,,0,
230,"Chẳng hiểu sao hàng của mình phải lấy lần thứ 3 mới đc. Giao hàng lần 1 vào T2, mình hẹn t5 giao nhưng hnay t7 mới giao. Mình k có nhà, hẹn shipper ráng chờ mình chút để mình chạy về. Đến nhà thì shipper nặng nhẹ ý bảo chờ lâu. Vì mình cũng k muốn hẹn giao lại vì sợ phiền bên cũng muốn 2 bên thông cảm. Shipper để hàng xuống đất sẵn r bảo: “Hàng đó c.” R vọt đi cục súc. Hàng hơi nặng, đặt nửa tháng mới có. Mình biết cực cho shipper nhưng thái độ như v mình cũng k vui chút nào.",,,0,
232,Nhân viên giao hàng gắt gỏng,,,0,
325,"Tôi mua quà tặng bạn vậy mà bên giao hàng ko có gọi cho ng nhận. Lúc ng nhận về tới nhà là gói hàng nằm ở ghế trước cửa nhà, bao bì bên ngoài lại bị xé ra sẵn.",,,0,
403,"tôi chưa nhận được hàng, shipper nói bị thất lạc mà hôm nay chưa thấy liên hệ lại, vui lòng kiểm tra giúp, lần trước tôi có mua ở đây 1 lần rồi",,,0,
425,"vận chuyển không tốt làm gãy góc sách, cái này là do ném hàng.",,,0,
451,"Mình muốn đánh giá cao hơn tuy nhiên hôm nay vấn đề mình gặp phải duy nhất là vấn đề shipper không giao tận nhà mà chỉ đến đầu ngõ rồi gọi giục mình ra lấy hàng, sau đó mình chuyển khoản thì vì thấy bạn ấy rất vội nên làm nhanh quá, k kịp để ý ngân hàng chuyển sang chế độ chuyển tiền thường. Về bạn ấy gọi lại cho mình với thái độ như kiểu mình đã làm sai vậy :( Thôi thì mong tiki sẽ đào tạo về cách làm cũng như giao đơn cho các bạn ship ít thôi không lần nào vội chạy nên cũng lấy lí do k tìm được nhà mà đứng ngoài ngõ gọi thì còn mất thời gian của các bạn ấy hơn.",,,0,
454,Giao hàng chậm. Màn hình ổn,1,,0,
490,Ham rẻ nên mua thử. Tính ra lại đắt vì phí ship,1,,0,
504,Không hài lòng với thái độ phục vụ của người giao hàng!,,,0,
514,"Sách đẹp, đóng hộp cẩn thận vẫn như mọi lần mình mua ở tiki. Nhưng lần này chỉ cho 3 sao thôi vì giao hàng quá chậm. 10 ngày mới nhận được sách",1,,0,
593,Giao hàng chậm trễ sau thời gian dự kiến tới 2 ngày! Để khách hàng chờ quá lâu trong khi giao hàng Tikinow nên mn nên cân nhắc trước khi đặt,,,0,
624,"Sản phẩm đẹp, chắc chắn, dễ sử dụng, cắm điện và dây mạng vào là sử dụng luôn, không cần cấu hình. Với giá tiền như vậy là quá tuyệt rồi.

Tuy nhiên sản phẩm giao hàng lâu hơn thông báo ban đầu đến 5 ngày nhưng cũng không có ai liên lạc đơn sẽ giao muộn. Có thể là do giãn cách xã hội nên giao chậm nhưng sẽ tốt hơn cho khách hàng nếu Tiki liên lạc/nhắn tin trên app thông báo đơn hàng giao chậm hơn dự kiến.",1,,0,
650,"Thời gian giao hàng dự kiến thứ 3, tuy nhiên đến thứ 6 mới nhận đc hàng. Chậm 3 ngày. Lâu quá trời",,,0,
658,"Đó giờ tiki làm việc rất ổn, tự nhiên hôm nay các sách mình đặt lại bị hư mất góc, là một người thích đọc sách và trân quý từng quyển sách như mình thấy không hài lòng. Mình không biết những lần sau sẽ như thế nào chứ mình đang consider lại về phía giao hàng. Chất lượng sách thì không có gì hết nhưng mình thật sự buồn!!",1,,0,
659,tra hàng quá chậm. báo thứ 3 thứ 6 mới trả,,,0,
676,"Bàn giao trễ hơn dự kiến mấy hôm, chất liệu thì khá tốt và đẹp, nhưng giao thiếu mình 1 tấm gỗ và mấy con ốc, làm mình hơi buồn. Không biết mọi người lắp xong bàn có chắc chắn không chứ bàn của mình nó hơi mong manh, mỗi lần mình đụng đụng là nó cứ siêu quẹo, lung lay như muốn rớt ra. Bàn này muốn di chuyển chắc khó lắm",1,,0,
703,"Mình đặt hàng 29/08/2021 đến 13/10/2021 mới nhận được sách. Vì dịch bệnh nên giao chậm có thể hiểu, tuy nhiên phía đối tác giao hàng giao hàng vận chuyển không cẩn thận, nước ngấm vào bong cả bìa sách.",,,0,
762,hàng  vận  chuyển  quá  lâu,,,0,
843,giao hàng lâu ................,,,0,
